dataset,fraction,exact_result,exact_time,random_result_mean,strat_result_mean,adaptive_result_mean,random_error_mean,random_error_std,strat_error_mean,strat_error_std,random_time_mean,random_time_std,strat_time_mean,strat_time_std,adaptive_error_mean,adaptive_error_std,adaptive_time_mean,adaptive_fraction_mean,random_speedup,strat_speedup,random_relative_error,strat_relative_error
taxi,0.01,47.59346774899991,0.07108736038208008,47.43569224423693,47.79247925757279,47.98882730455076,0.5024430370844328,0.22811726776921487,0.9940210707684358,0.3166675778554694,0.0325284481048584,0.005127237131492167,0.08004207611083984,0.006640449720381414,0.00830701300514407,0.0,0.030666208267211913,0.01,2.18539046661321,0.8881248942573711,0.010556974745656996,0.020885661788940003
taxi,0.05,47.59346774899991,0.07108736038208008,47.542399043534346,47.548848774880774,47.98882730455076,0.11932211265065859,0.15600926076989519,0.4227198794618602,0.16249954218317408,0.04351663589477539,0.022656714240679846,0.08175120353698731,0.0031702384886051777,0.00830701300514407,0.0,0.03547520637512207,0.01,1.6335674603609427,0.8695573558121072,0.0025071111287780857,0.008881888617387895
taxi,0.1,47.59346774899991,0.07108736038208008,47.541726978526114,47.616100066114114,47.98882730455076,0.1323259541196066,0.13822216047666702,0.09909402977391153,0.06791925924605494,0.045142316818237306,0.011129245042808643,0.09697489738464356,0.014299579865187451,0.00830701300514407,0.0,0.049443292617797854,0.01,1.5747388568537335,0.7330490910458762,0.0027803385711978757,0.0020820930783299312
taxi,0.25,47.59346774899991,0.07108736038208008,47.55810178513515,47.54460677424947,47.98882730455076,0.055431323187988824,0.05684040137203868,0.05698401511717464,0.054865764403034235,0.04290189743041992,0.00046765670525784713,0.09387378692626953,0.004556403896626365,0.00830701300514407,0.0,0.033347034454345705,0.01,1.6569747409743942,0.757265288955623,0.0011646834284134214,0.0011973074838273797
retail,0.01,36.68544324276303,0.04498004913330078,34.80891549607588,38.64274359774289,37.63404395539734,1.8765277466871482,1.3849667667827954,5.701699253226702,6.8346207196086075,0.016352224349975585,0.0008500801167860896,0.09038610458374023,0.002097571301796398,0.025857687103765358,3.469446951953614e-18,0.0992471694946289,0.16,2.7506991202311837,0.49764340813723207,0.05115183519166918,0.1554212992738334
retail,0.05,36.68544324276303,0.04498004913330078,34.54215438321455,37.11940837400814,37.63404395539734,2.1432888595484743,0.8715717161073023,1.764902004450174,0.6341683478664514,0.0200192928314209,0.0014296075428635864,0.09271402359008789,0.0022709386525185398,0.025857687103765358,3.469446951953614e-18,0.09746260643005371,0.16,2.2468350661569425,0.48514828061145243,0.05842341457796841,0.0481090549396139
retail,0.1,36.68544324276303,0.04498004913330078,34.971999240381635,36.28637263447185,37.63404395539734,1.7134440023813937,0.8477059537749252,0.8192598411319295,0.5912958531568786,0.02100367546081543,0.0013507241823773543,0.1073498249053955,0.02015289625198755,0.025857687103765358,3.469446951953614e-18,0.10347104072570801,0.16,2.1415322864427133,0.4190044014784419,0.04670637318030514,0.02233201424637402
retail,0.25,36.68544324276303,0.04498004913330078,35.22029588700458,36.54286826333915,37.63404395539734,1.4651473557584453,0.7323219545556835,0.5200109188238698,0.2675805156500242,0.031088495254516603,0.006882678194845168,0.10514116287231445,0.0035956066203450955,0.025857687103765358,3.469446951953614e-18,0.09728217124938965,0.16,1.4468390562185858,0.42780627400826315,0.03993811240232122,0.01417485718743368
tpch,0.01,36049.23851743268,0.05356144905090332,36378.08433139422,36121.13950989358,36092.44861324552,529.1545503114583,118.32078111359145,285.3091111125148,134.60104214600477,0.018990325927734374,0.0005716561709302658,0.09079489707946778,0.0011510896070300349,0.0011986410140660125,0.0,0.01869673728942871,0.01,2.820459704310795,0.5899169531964328,0.014678660966876454,0.007914428233332728
tpch,0.05,36049.23851743268,0.05356144905090332,36028.996767789315,36015.19216271093,36092.44861324552,112.94325130249781,59.09399935692651,113.41680095460325,63.39941399430092,0.020830154418945312,0.0007184778910118426,0.0961005687713623,0.0016381583485789155,0.0011986410140660125,0.0,0.0196321964263916,0.01,2.5713419100814945,0.5573478881101532,0.003133027379978658,0.003146163570133588
tpch,0.1,36049.23851743268,0.05356144905090332,36095.530211644436,36014.11655924867,36092.44861324552,51.636761282986846,48.83285081083181,67.26973103840719,50.459334838944116,0.022425031661987303,0.0014028125723483764,0.09523272514343262,0.0017568895330345277,0.0011986410140660125,0.0,0.01911168098449707,0.01,2.3884670424655585,0.5624269280358506,0.0014323953405566768,0.001866051373203817
tpch,0.25,36049.23851743268,0.05356144905090332,36056.324127783926,36033.67133010972,36092.44861324552,55.885961005765424,47.845163102767785,37.26972342878871,28.470090922784212,0.036234140396118164,0.012340730849236935,0.1156303882598877,0.012675298026245521,0.0011986410140660125,0.0,0.0299959659576416,0.01,1.4782039387538903,0.4632125677077212,0.0015502674481942277,0.0010338560524868182
