dataset,fraction,random_error_mean,random_error_std,strat_error_mean,strat_error_std,random_time_mean,strat_time_mean,exact_time
taxi,0.01,4.5682680283834936,2.6524782810129253,8.63130936798083,3.174227314956082,0.0025394916534423827,0.006314802169799805,0.001764535903930664
taxi,0.05,1.5169786712592157,1.0325972215072252,2.381376269565677,1.4779408256166346,0.0007749080657958984,0.002979135513305664,0.001764535903930664
taxi,0.1,1.5085726113675328,0.8994004650042322,2.4283907193084033,1.7983645311044953,0.0007347583770751954,0.002268266677856445,0.001764535903930664
taxi,0.25,1.2396471381249015,0.7618393843200961,1.1300020667813229,0.8059112017989517,0.0006981372833251953,0.002231454849243164,0.001764535903930664
retail,0.01,170.66293769227332,83.59339554299505,274.6388799533323,145.61716529835897,0.00104522705078125,0.0027780055999755858,0.0007266998291015625
retail,0.05,53.39768215710376,45.35011590500387,99.38634819170451,88.42952782913045,0.001142406463623047,0.0032657623291015626,0.0007266998291015625
retail,0.1,48.13113765039152,24.597872931180294,77.88172188694845,58.34607797444093,0.0012833595275878907,0.003255128860473633,0.0007266998291015625
retail,0.25,34.067432354685934,18.390732775891045,36.35719572072892,27.420817555829494,0.0016079425811767578,0.004449367523193359,0.0007266998291015625
tpch,0.01,1000.1606808799776,548.8200381417898,2072.8798048489357,1110.386785625019,0.000988340377807617,0.0037165164947509767,0.0005240440368652344
tpch,0.05,401.1529768489563,303.9349143520562,572.6969560700682,286.55812431456775,0.0009186267852783203,0.004056215286254883,0.0005240440368652344
tpch,0.1,351.39827541765646,285.3855553416157,381.6074208266984,199.39474293886929,0.0009120941162109375,0.0037740230560302734,0.0005240440368652344
tpch,0.25,196.2995440768047,204.64907909428644,239.5790721758496,115.76517130841165,0.0010507583618164062,0.003384256362915039,0.0005240440368652344
